const_id,const_name,const_link
1,Okręg wyborczy nr 1,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/1
2,Okręg wyborczy nr 2,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/2
3,Okręg wyborczy nr 3,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/3
4,Okręg wyborczy nr 4,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/4
5,Okręg wyborczy nr 5,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/5
6,Okręg wyborczy nr 6,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/6
7,Okręg wyborczy nr 7,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/7
8,Okręg wyborczy nr 8,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/8
9,Okręg wyborczy nr 9,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/9
10,Okręg wyborczy nr 10,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/10
11,Okręg wyborczy nr 11,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/11
12,Okręg wyborczy nr 12,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/12
13,Okręg wyborczy nr 13,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/13
14,Okręg wyborczy nr 14,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/14
15,Okręg wyborczy nr 15,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/15
16,Okręg wyborczy nr 16,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/16
17,Okręg wyborczy nr 17,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/17
18,Okręg wyborczy nr 18,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/18
19,Okręg wyborczy nr 19,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/19
20,Okręg wyborczy nr 20,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/20
21,Okręg wyborczy nr 21,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/21
22,Okręg wyborczy nr 22,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/22
23,Okręg wyborczy nr 23,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/23
24,Okręg wyborczy nr 24,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/24
25,Okręg wyborczy nr 25,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/25
26,Okręg wyborczy nr 26,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/26
27,Okręg wyborczy nr 27,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/27
28,Okręg wyborczy nr 28,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/28
29,Okręg wyborczy nr 29,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/29
30,Okręg wyborczy nr 30,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/30
31,Okręg wyborczy nr 31,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/31
32,Okręg wyborczy nr 32,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/32
33,Okręg wyborczy nr 33,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/33
34,Okręg wyborczy nr 34,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/34
35,Okręg wyborczy nr 35,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/35
36,Okręg wyborczy nr 36,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/36
37,Okręg wyborczy nr 37,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/37
38,Okręg wyborczy nr 38,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/38
39,Okręg wyborczy nr 39,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/39
40,Okręg wyborczy nr 40,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/40
41,Okręg wyborczy nr 41,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/okr/41
