ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.32.4.98","elite","AS60645","PL","AS Consulting Sp. z o. o.","77","Core Network Fiber","4153","socks4","4993","1","2023-10-18T20:40:59.141Z","99","4365","4394"
"46.227.39.1","elite","AS51155","PL","TB Telecom Sp. z o. o.","39","Telemedian","1088","socks4","5004","1","2023-10-18T20:40:11.946Z","100","4325","4337"
"194.31.33.50","elite","AS12741","PL","Netia SA","37","SOFTDESK POLSKA Sp. z o.o","1080","socks4","4799","1","2023-10-18T20:39:27.038Z","98","4290","4398"
"185.186.18.20","elite","AS57723","PL","Media Telekom Sp. z o.o.","98","Media Telekom Sp. z o.o.","5678","socks4","2905","1","2023-10-18T20:38:33.449Z","100","4384","4394"
"178.212.52.198","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","31","Lubuskie Sieci Swiatlowodowe Sp. z o. o","19702","socks4","4805","1","2023-10-18T20:38:28.234Z","99","4395","4459"
"37.235.48.19","elite","AS9009","PL","M247 Europe SRL","36","EDIS GmbH","80","socks5","5084","1","2023-10-18T20:38:01.645Z","100","4393","4411"
"46.227.37.21","elite","AS51155","PL","Telemedian - TB Telecom","39","Telemedian","1088","socks4","4907","1","2023-10-18T20:36:37.243Z","100","4436","4446"
"51.83.135.35","elite","AS16276","PL","OVH SAS","95","OVH Sp. z o. o","2846","socks4","2013","82","2023-10-18T20:36:31.650Z","90","3898","4354"
"46.227.37.113","elite","AS51155","PL","Telemedian - TB Telecom","41","Telemedian","1088","socks4","2103","1","2023-10-18T20:34:30.946Z","100","4317","4338"
"54.38.195.161","elite","AS16276","PL","OVH SAS","31","OVH Sp. z o. o","63851","socks5","4904","1","2023-10-18T20:34:27.744Z","100","4410","4413"
"194.181.82.37","elite","AS8308","PL","NASK","32","N/A","7497","socks5","5103","1","2023-10-18T20:34:18.545Z","100","4400","4405"
"89.161.89.161","elite","AS39375","PL","Telekomunikacja Podlasie sp. z o.o.","36","TPODLASIE CATV Network","5678","socks4","4604","1","2023-10-18T20:33:59.535Z","100","4429","4450"
"188.112.39.231","elite","AS42739","PL","Hawe Telekom S.A. in Restructuring","32","Hawe","5678","socks4","507","1","2023-10-18T20:33:44.440Z","99","4392","4430"
"89.161.90.155","elite","AS39375","PL","Telekomunikacja Podlasie Sp. z o.o.","39","Telekomunikacja Podlasie sp. z o.o.","5678","socks4","3300","1","2023-10-18T20:33:29.955Z","99","4411","4434"
